sala,Localização,Latitude,Longitude,nome da rede,banda,largura,canal,wifi mode,mimo,sinal,Velocidade de downlink,velocidade de uplink,latência,jitter,Room,Position,Is_Corredor
A,"dentro A24-s, p4",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),4x4,-46 dBm,110 Mbps,135 Mbps,35 ms,21 ms,A24,p4,FALSE
A,"dentro A24-s, p3",,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),4x4,-61 dBm,3 Mbps,2 Mbps,53 ms,18 ms,A24,p3,FALSE
A,"dentro A24-s, p3",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),4x4,-46 dBm,79 Mbps,132 Mbps,24 ms,0 ms,A24,p3,FALSE
A,"dentro A24-s, p2",,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),4x4,-54 dBm,1 Mbps,1 Mbps,245 ms,189 ms,A24,p2,FALSE
A,"dentro A24-s, p2",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),4x4,-59 dBm,80 Mbps,82 Mbps,43 ms,32 ms,A24,p2,FALSE
A,"dentro A24-s, p1",,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),4x4,-56 dBm,1 Mbps,2 Mbps,214 ms,129 ms,A24,p1,FALSE
A,"dentro A24-s, p1",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),4x4,-53 dBm,101 Mbps,115 Mbps,24 ms,0 ms,A24,p1,FALSE
A,corredor A38-s,,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),4x4,-50 dBm,4 Mbps,3 Mbps,34 ms,4 ms,A38,,TRUE
A,corredor A38-s,,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),4x4,-49 dBm,115 Mbps,116 Mbps,23 ms,0 ms,A38,,TRUE
A,corredor A36-s,,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),4x4,-49 dBm,4 Mbps,2 Mbps,33 ms,6 ms,A36,,TRUE
A,corredor A36-s,,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),4x4,-25 dBm,112 Mbps,109 Mbps,22 ms,0 ms,A36,,TRUE
A,corredor A33-s,,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),4x4,-34 dBm,3 Mbps,3 Mbps,28 ms,1 ms,A33,,TRUE
A,corredor A33-s,,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),4x4,-46 dBm,120 Mbps,128 Mbps,28 ms,3 ms,A33,,TRUE
A,corredor A30-s,,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),4x4,-24 dBm,2 Mbps,3 Mbps,301 ms,245 ms,A30,,TRUE
A,corredor A30-s,,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),4x4,-55 dBm,123 Mbps,112 Mbps,22 ms,1 ms,A30,,TRUE
A,corredor A24-s,,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),4x4,-29 dBm,1 Mbps,1 Mbps,419 ms,283 ms,A24,,TRUE
A,corredor A24-s,,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),4x4,-49 dBm,75 Mbps,115 Mbps,39 ms,9 ms,A24,,TRUE
A,A02 p2,,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),4x4,-56 dBm,2 Mbps,2 Mbps,236 ms,224 ms,A02,p2,FALSE
A,"A02, p2",,,eduroam,5 GHz,40 MHz,64.0,802.11ac (Wi-Fi 5),4x4,-56 dBm,117 Mbps,102 Mbps,32 ms,13 ms,A02,p2,FALSE
A,"A02, p3",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),4x4,-48 dBm,3 Mbps,2 Mbps,80 ms,25 ms,A02,p3,FALSE
A,"A02, p3",,,eduroam,5 GHz,40 MHz,64.0,802.11ac (Wi-Fi 5),4x4,-63 dBm,66 Mbps,64 Mbps,29 ms,10 ms,A02,p3,FALSE
A,"A02, p1",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),4x4,-54 dBm,15 Mbps,14 Mbps,32 ms,5 ms,A02,p1,FALSE
A,"A02, p1",,,eduroam,5 GHz,40 MHz,64.0,802.11ac (Wi-Fi 5),4x4,-62 dBm,68 Mbps,77 Mbps,26 ms,5 ms,A02,p1,FALSE
A,"A02 , p4",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),4x4,-40 dBm,4 Mbps,2 Mbps,32 ms,3 ms,A02,p4,FALSE
A,"A02, p4",,,eduroam,5 GHz,40 MHz,64.0,802.11ac (Wi-Fi 5),4x4,-59 dBm,99 Mbps,98 Mbps,23 ms,2 ms,A02,p4,FALSE
A,"A02, p5",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),4x4,-40 dBm,3 Mbps,2 Mbps,62 ms,13 ms,A02,p5,FALSE
A,"A02, p5",,,eduroam,5 GHz,40 MHz,64.0,802.11ac (Wi-Fi 5),4x4,-69 dBm,116 Mbps,104 Mbps,22 ms,0 ms,A02,p5,FALSE
A,corredor A01,,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),4x4,-48 dBm,2 Mbps,1 Mbps,110 ms,43 ms,A01,,TRUE
A,corredor A01,,,eduroam,5 GHz,40 MHz,36.0,802.11ac (Wi-Fi 5),4x4,-53 dBm,146 Mbps,167 Mbps,24 ms,0 ms,A01,,TRUE
A,corredor A10,,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),4x4,-40 dBm,2 Mbps,1 Mbps,323 ms,157 ms,A10,,TRUE
A,corredor A10,,,eduroam,5 GHz,40 MHz,64.0,802.11ac (Wi-Fi 5),4x4,-38 dBm,113 Mbps,147 Mbps,24 ms,1 ms,A10,,TRUE
A,corredor A14,,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),4x4,-36 dBm,5 Mbps,2 Mbps,35 ms,3 ms,A14,,TRUE
A,corredor A14,,,eduroam,5 GHz,40 MHz,64.0,802.11ac (Wi-Fi 5),4x4,-68 dBm,99 Mbps,51 Mbps,22 ms,1 ms,A14,,TRUE
A,corredor A17,,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),4x4,-24 dBm,2 Mbps,3 Mbps,94 ms,21 ms,A17,,TRUE
A,corredor A17,,,eduroam,5 GHz,40 MHz,64.0,802.11ac (Wi-Fi 5),4x4,-71 dBm,72 Mbps,29 Mbps,22 ms,0 ms,A17,,TRUE
A,corredor A21,,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),4x4,-44 dBm,2 Mbps,3 Mbps,77 ms,11 ms,A21,,TRUE
A,corredor A21,,,eduroam,5 GHz,40 MHz,36.0,802.11ac (Wi-Fi 5),4x4,-68 dBm,116 Mbps,40 Mbps,23 ms,1 ms,A21,,TRUE
